Filenum: 28 	Not ok: 19 02, 17:17:01.
Filenum: 32 	Not ok: 19 02, 17:52:49.
Filenum: 58 	Not ok: 19 02, 21:56:23.
Filenum: 69 	Not ok: 19 02, 23:40:20.
Filenum: 86 	Not ok: 20 02, 02:16:18.
Filenum: 86 	Not ok: 20 02, 02:16:18.
Filenum: 86 	Not ok: 20 02, 02:16:19.
Filenum: 86 	Not ok: 20 02, 02:16:19.
Filenum: 86 	Not ok: 20 02, 02:16:19.
Filenum: 86 	Not ok: 20 02, 02:16:20.
Filenum: 86 	Not ok: 20 02, 02:16:20.
Filenum: 86 	Not ok: 20 02, 02:16:21.
Filenum: 86 	Not ok: 20 02, 02:17:01.
Filenum: 92 	Not ok: 20 02, 03:09:46.
Filenum: 93 	Not ok: 20 02, 03:17:01.
Filenum: 96 	Not ok: 20 02, 03:44:46.
Filenum: 100 	Not ok: 20 02, 04:19:25.
Filenum: 113 	Not ok: 20 02, 06:25:01.
Filenum: 113 	Not ok: 20 02, 06:25:01.
Filenum: 113 	Not ok: 20 02, 06:25:02.
Filenum: 113 	Not ok: 20 02, 06:25:02.
Filenum: 113 	Not ok: 20 02, 06:25:03.
Filenum: 113 	Not ok: 20 02, 06:25:03.
Filenum: 113 	Not ok: 20 02, 06:25:03.
Filenum: 114 	Not ok: 20 02, 06:34:47.
Filenum: 114 	Not ok: 20 02, 06:34:47.
Filenum: 114 	Not ok: 20 02, 06:34:48.
Filenum: 114 	Not ok: 20 02, 06:34:48.
Filenum: 114 	Not ok: 20 02, 06:34:49.
Filenum: 114 	Not ok: 20 02, 06:34:49.
Filenum: 114 	Not ok: 20 02, 06:34:50.
Filenum: 114 	Not ok: 20 02, 06:34:50.
Filenum: 114 	Not ok: 20 02, 06:34:51.
Filenum: 118 	Not ok: 20 02, 07:13:41.
Filenum: 126 	Not ok: 20 02, 08:22:49.
Filenum: 130 	Not ok: 20 02, 08:57:49.
Filenum: 141 	Not ok: 20 02, 10:42:16.
Filenum: 142 	Not ok: 20 02, 10:48:54.
Filenum: 142 	Not ok: 20 02, 10:48:54.
Filenum: 142 	Not ok: 20 02, 10:48:55.
Filenum: 142 	Not ok: 20 02, 10:48:55.
Filenum: 142 	Not ok: 20 02, 10:48:55.
Filenum: 142 	Not ok: 20 02, 10:48:56.
Filenum: 142 	Not ok: 20 02, 10:48:56.
Filenum: 142 	Not ok: 20 02, 10:48:57.
Filenum: 142 	Not ok: 20 02, 10:48:57.
Filenum: 160 	Not ok: 20 02, 13:36:12.
Filenum: 167 	Not ok: 20 02, 14:46:01.
Filenum: 182 	Not ok: 20 02, 17:05:28.
Filenum: 184 	Not ok: 20 02, 17:17:01.
Filenum: 216 	Not ok: 20 02, 22:18:52.
Filenum: 224 	Not ok: 20 02, 23:29:17.
Filenum: 224 	Not ok: 20 02, 23:29:17.
Filenum: 224 	Not ok: 20 02, 23:29:18.
Filenum: 224 	Not ok: 20 02, 23:29:18.
Filenum: 224 	Not ok: 20 02, 23:29:19.
Filenum: 224 	Not ok: 20 02, 23:29:19.
Filenum: 224 	Not ok: 20 02, 23:29:20.
Filenum: 224 	Not ok: 20 02, 23:29:20.
Filenum: 224 	Not ok: 20 02, 23:29:21.
Filenum: 224 	Not ok: 20 02, 23:29:21.
Filenum: 235 	Not ok: 21 02, 01:12:58.
Filenum: 268 	Not ok: 21 02, 06:17:02.
Filenum: 269 	Not ok: 21 02, 06:25:02.
Filenum: 269 	Not ok: 21 02, 06:25:02.
Filenum: 269 	Not ok: 21 02, 06:25:03.
Filenum: 269 	Not ok: 21 02, 06:25:03.
Filenum: 269 	Not ok: 21 02, 06:25:03.
Filenum: 269 	Not ok: 21 02, 06:25:04.
Filenum: 269 	Not ok: 21 02, 06:28:53.
Filenum: 269 	Not ok: 21 02, 06:28:54.
Filenum: 269 	Not ok: 21 02, 06:28:54.
Filenum: 269 	Not ok: 21 02, 06:28:55.
Filenum: 269 	Not ok: 21 02, 06:28:55.
Filenum: 269 	Not ok: 21 02, 06:28:56.
Filenum: 269 	Not ok: 21 02, 06:28:56.
Filenum: 269 	Not ok: 21 02, 06:28:56.
Filenum: 269 	Not ok: 21 02, 06:28:57.
Filenum: 300 	Not ok: 21 02, 11:17:01.
Filenum: 303 	Not ok: 21 02, 11:39:55.
Filenum: 307 	Not ok: 21 02, 12:17:01.
Filenum: 338 	Not ok: 21 02, 17:07:53.
Filenum: 338 	Not ok: 21 02, 17:07:54.
Filenum: 338 	Not ok: 21 02, 17:07:54.
Filenum: 338 	Not ok: 21 02, 17:07:55.
Filenum: 338 	Not ok: 21 02, 17:07:55.
Filenum: 338 	Not ok: 21 02, 17:07:56.
Filenum: 338 	Not ok: 21 02, 17:07:56.
Filenum: 338 	Not ok: 21 02, 17:07:56.
Filenum: 338 	Not ok: 21 02, 17:07:57.
Filenum: 348 	Not ok: 21 02, 18:37:46.
Filenum: 382 	Not ok: 21 02, 23:51:09.
Filenum: 411 	Not ok: 22 02, 04:17:01.
Filenum: 416 	Not ok: 22 02, 05:04:02.
Filenum: 416 	Not ok: 22 02, 05:04:22.
Filenum: 417 	Not ok: 22 02, 05:15:49.
Filenum: 417 	Not ok: 22 02, 05:15:49.
Filenum: 417 	Not ok: 22 02, 05:15:50.
Filenum: 417 	Not ok: 22 02, 05:15:50.
Filenum: 417 	Not ok: 22 02, 05:15:51.
Filenum: 417 	Not ok: 22 02, 05:15:51.
Filenum: 417 	Not ok: 22 02, 05:15:51.
Filenum: 417 	Not ok: 22 02, 05:15:52.
Filenum: 417 	Not ok: 22 02, 05:15:52.
Filenum: 417 	Not ok: 22 02, 05:15:53.
Filenum: 419 	Not ok: 22 02, 05:38:51.
Filenum: 424 	Not ok: 22 02, 06:25:02.
Filenum: 424 	Not ok: 22 02, 06:25:02.
Filenum: 424 	Not ok: 22 02, 06:25:03.
Filenum: 424 	Not ok: 22 02, 06:25:03.
Filenum: 424 	Not ok: 22 02, 06:25:04.
Filenum: 424 	Not ok: 22 02, 06:25:04.
Filenum: 426 	Not ok: 22 02, 06:37:53.
Filenum: 426 	Not ok: 22 02, 06:37:54.
Filenum: 426 	Not ok: 22 02, 06:37:54.
Filenum: 426 	Not ok: 22 02, 06:37:55.
Filenum: 426 	Not ok: 22 02, 06:37:55.
Filenum: 426 	Not ok: 22 02, 06:37:55.
Filenum: 426 	Not ok: 22 02, 06:37:56.
Filenum: 426 	Not ok: 22 02, 06:37:56.
Filenum: 426 	Not ok: 22 02, 06:37:57.
Filenum: 426 	Not ok: 22 02, 06:37:57.
Filenum: 426 	Not ok: 22 02, 06:39:41.
Filenum: 426 	Not ok: 22 02, 06:39:42.
Filenum: 426 	Not ok: 22 02, 06:39:42.
Filenum: 426 	Not ok: 22 02, 06:39:43.
Filenum: 426 	Not ok: 22 02, 06:39:43.
Filenum: 426 	Not ok: 22 02, 06:39:43.
Filenum: 426 	Not ok: 22 02, 06:39:44.
Filenum: 426 	Not ok: 22 02, 06:39:44.
Filenum: 426 	Not ok: 22 02, 06:39:45.
Filenum: 431 	Not ok: 22 02, 07:23:49.
Filenum: 443 	Not ok: 22 02, 09:17:01.
Filenum: 453 	Not ok: 22 02, 10:52:24.
Filenum: 461 	Not ok: 22 02, 12:02:23.
Filenum: 468 	Not ok: 22 02, 13:11:41.
Filenum: 475 	Not ok: 22 02, 14:17:01.
Filenum: 487 	Not ok: 22 02, 16:06:08.
Filenum: 488 	Not ok: 22 02, 16:17:01.
Filenum: 495 	Not ok: 22 02, 17:15:36.
Filenum: 511 	Not ok: 22 02, 19:45:53.
Filenum: 511 	Not ok: 22 02, 19:45:53.
Filenum: 511 	Not ok: 22 02, 19:45:54.
Filenum: 511 	Not ok: 22 02, 19:45:55.
Filenum: 511 	Not ok: 22 02, 19:45:55.
Filenum: 511 	Not ok: 22 02, 19:45:56.
Filenum: 511 	Not ok: 22 02, 19:45:56.
Filenum: 511 	Not ok: 22 02, 19:45:57.
Filenum: 511 	Not ok: 22 02, 19:45:57.
Filenum: 529 	Not ok: 22 02, 22:28:49.
Filenum: 536 	Not ok: 22 02, 23:38:17.
Filenum: 559 	Not ok: 23 02, 03:07:44.
Filenum: 580 	Not ok: 23 02, 06:25:02.
Filenum: 580 	Not ok: 23 02, 06:25:03.
Filenum: 580 	Not ok: 23 02, 06:25:03.
Filenum: 580 	Not ok: 23 02, 06:25:04.
Filenum: 580 	Not ok: 23 02, 06:26:43.
Filenum: 580 	Not ok: 23 02, 06:26:44.
Filenum: 580 	Not ok: 23 02, 06:26:44.
Filenum: 580 	Not ok: 23 02, 06:26:45.
Filenum: 580 	Not ok: 23 02, 06:26:45.
Filenum: 580 	Not ok: 23 02, 06:26:45.
Filenum: 580 	Not ok: 23 02, 06:26:46.
Filenum: 580 	Not ok: 23 02, 06:26:46.
Filenum: 580 	Not ok: 23 02, 06:26:47.
Filenum: 580 	Not ok: 23 02, 06:26:47.
Filenum: 589 	Not ok: 23 02, 07:45:47.
Filenum: 598 	Not ok: 23 02, 09:09:03.
Filenum: 598 	Not ok: 23 02, 09:09:04.
Filenum: 598 	Not ok: 23 02, 09:09:04.
